train_size_category,test_roc_auc,test_balanced_accuracy,fold-site,classifier,feature_type,atlas,dataset
700,0.7039835164835165,0.6414835164835164,Baltimore,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6342592592592593,0.5740740740740741,Boston,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6790890269151139,0.6252587991718426,Dallas,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.5714285714285714,0.4880952380952381,Detroit,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6290064102564102,0.5440705128205129,Hartford,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7124999999999999,0.7177631578947368,mannheim,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7143962848297213,0.6803405572755419,creteil,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6311728395061729,0.6055555555555556,udine,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.5490196078431372,0.48039215686274506,galway,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.600250626566416,0.550125313283208,pittsburgh,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.48309178743961356,0.49275362318840576,grenoble,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6871428571428572,0.655,geneve,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6833791208791209,0.6263736263736264,Baltimore,EN,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.699074074074074,0.6921296296296295,Boston,EN,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7039337474120083,0.6299171842650104,Dallas,EN,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7777777777777779,0.7261904761904763,Detroit,EN,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6490384615384616,0.563301282051282,Hartford,EN,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7105263157894737,0.6447368421052632,mannheim,EN,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7004643962848297,0.6524767801857585,creteil,EN,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.773148148148148,0.6861111111111111,udine,EN,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7647058823529412,0.7352941176470589,galway,EN,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7481203007518797,0.7089598997493733,pittsburgh,EN,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6521739130434783,0.5942028985507246,grenoble,EN,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6885714285714286,0.64,geneve,EN,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7225274725274726,0.6552197802197802,Baltimore,svm,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6203703703703703,0.6342592592592593,Boston,svm,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7008281573498965,0.6754658385093167,Dallas,svm,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.9047619047619048,0.7738095238095238,Detroit,svm,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6217948717948718,0.561698717948718,Hartford,svm,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6815789473684211,0.6190789473684211,mannheim,svm,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6989164086687307,0.6609907120743035,creteil,svm,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7641975308641975,0.6666666666666666,udine,svm,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.803921568627451,0.7647058823529411,galway,svm,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.705513784461153,0.6826441102756893,pittsburgh,svm,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6038647342995169,0.6618357487922705,grenoble,svm,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6742857142857143,0.64,geneve,svm,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7362637362637363,0.7046703296703296,Baltimore,MLP,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.5972222222222222,0.5578703703703703,Boston,MLP,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.629399585921325,0.6118012422360248,Dallas,MLP,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.761904761904762,0.7738095238095238,Detroit,MLP,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6177884615384616,0.5793269230769231,Hartford,MLP,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.718421052631579,0.6578947368421053,mannheim,MLP,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.75,0.6656346749226006,creteil,MLP,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7200617283950617,0.65,udine,MLP,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.8823529411764706,0.7058823529411764,galway,MLP,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7005012531328322,0.6826441102756893,pittsburgh,MLP,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6618357487922706,0.572463768115942,grenoble,MLP,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7228571428571429,0.64,geneve,MLP,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6916208791208791,0.6291208791208791,Baltimore,xgboost,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6527777777777778,0.5625,Boston,xgboost,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7070393374741201,0.6143892339544513,Dallas,xgboost,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.8015873015873016,0.7738095238095238,Detroit,xgboost,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.5977564102564102,0.5248397435897436,Hartford,xgboost,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6802631578947368,0.6467105263157895,mannheim,xgboost,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7523219814241486,0.6973684210526316,creteil,xgboost,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7592592592592592,0.6611111111111111,udine,xgboost,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7647058823529411,0.6764705882352942,galway,xgboost,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7073934837092734,0.6212406015037594,pittsburgh,xgboost,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6183574879227054,0.6400966183574879,grenoble,xgboost,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7242857142857143,0.64,geneve,xgboost,zscores_VBM_ROI,Neuromorphometrics,N763
