train_size_category,test_roc_auc,test_balanced_accuracy,fold-site,classifier,feature_type,atlas,dataset
700,0.6964285714285715,0.6057692307692308,Baltimore,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6003086419753086,0.5393518518518519,Boston,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6366459627329192,0.5579710144927537,Dallas,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.46031746031746035,0.5476190476190476,Detroit,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6642628205128205,0.5232371794871795,Hartford,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7513157894736843,0.7052631578947368,mannheim,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7190402476780186,0.6687306501547987,creteil,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6679012345679012,0.6333333333333333,udine,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.3529411764705883,0.39215686274509803,galway,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6779448621553884,0.6209273182957393,pittsburgh,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.3719806763285024,0.41787439613526567,grenoble,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6914285714285715,0.6171428571428572,geneve,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7149725274725274,0.6538461538461539,Baltimore,EN,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7098765432098766,0.6319444444444444,Boston,EN,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7339544513457557,0.6040372670807453,Dallas,EN,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.8095238095238095,0.7261904761904763,Detroit,EN,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6394230769230769,0.5600961538461539,Hartford,EN,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7125,0.6552631578947368,mannheim,EN,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7298761609907121,0.6640866873065016,creteil,EN,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7947530864197531,0.6972222222222222,udine,EN,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7254901960784315,0.6764705882352942,galway,EN,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7324561403508772,0.7180451127819549,pittsburgh,EN,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6376811594202898,0.5821256038647343,grenoble,EN,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7271428571428572,0.6,geneve,EN,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7129120879120879,0.7115384615384616,Baltimore,svm,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6682098765432098,0.6388888888888888,Boston,svm,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7339544513457557,0.6733954451345756,Dallas,svm,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.8650793650793651,0.7738095238095238,Detroit,svm,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6033653846153847,0.532051282051282,Hartford,svm,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7197368421052632,0.6677631578947368,mannheim,svm,zscores_VBM_ROI,Neuromorphometrics,N763
